brth_yr,nm,cnt
2016,Hazel,10
2016,Anabia,10
2016,Amira,10
2016,Anjali,10
2016,Mariam,10
2016,Lia,10
2016,Ava,109
2016,Madison,104
2016,Skylar,68
2016,Riley,65
2016,Aaliyah,57
2016,Savannah,54
2016,Chloe,51
2016,Olivia,49
2016,Fatoumata,48
2016,Abigail,48
2016,Peyton,46
2016,Zoe,45
2016,Isabella,44
2016,Faith,43
2016,Autumn,41
2016,London,41
2016,Sophia,40
2016,Malia,38
2016,Brielle,38
2016,Taylor,37
2016,Amelia,37
2016,Mia,37
2016,Fatima,36
2016,Nevaeh,35
2016,Arianna,35
2016,Kayla,35
2016,Zoey,34
2016,Nia,34
2016,Kylie,34
2016,Gabrielle,33
2016,Serenity,33
2016,Aria,33
2016,Aisha,33
2016,Leah,32
2016,Makayla,32
2016,Laila,32
2016,Naomi,32
2016,Khloe,32
2016,Mariam,31
2016,Zuri,30
2016,Paige,30
2016,Mariama,30
2016,Victoria,30
2016,Morgan,28
2016,Nyla,28
2016,Grace,28
2016,Jasmine,28
2016,Aminata,27
2016,Emily,26
2016,Lauren,26
2016,Miracle,25
2016,Sarah,25
2016,Ariah,25
2016,Layla,25
2016,Hailey,25
2016,Nylah,24
2016,Amiyah,24
2016,Emma,24
2016,Amina,24
2016,Chelsea,23
2016,Elizabeth,23
2016,Heaven,23
2016,Ariana,23
2016,Bella,23
2016,Jordyn,22
2016,Ariel,22
2016,Amaya,22
2016,Genesis,22
2016,Paris,22
2016,Trinity,22
2016,Talia,21
2016,Mariah,21
2016,Imani,21
2016,Kennedy,21
2016,Gabriella,21
2016,Alyssa,20
2016,Jayla,20
2016,Sydney,20
2016,Maya,20
2016,Kaylee,20
2016,Kimora,20
2016,Destiny,20
2016,Dakota,20
2016,Michelle,19
2016,Charlotte,19
2016,Leilani,19
2016,Lyric,18
2016,Aliyah,18
2016,Aubrey,18
2016,Aniyah,18
2016,Avery,18
2016,Tori,18
2016,Mya,17
2016,Eliana,17
2016,Hannah,17
2016,Kiara,17
2016,Egypt,17
2016,Arielle,17
2016,Skyla,16
2016,Janelle,16
2016,Isabelle,16
2016,Journee,16
2016,Harmony,16
2016,Anaya,16
2016,Jade,15
2016,Brianna,15
2016,Zariah,15
2016,Sage,15
2016,Alani,15
2016,Maliyah,15
2016,Amira,15
2016,Zara,14
2016,Sarai,14
2016,Nala,14
2016,Amirah,14
2016,Brooke,14
2016,Londyn,14
2016,McKenzie,14
2016,Nova,14
2016,Kali,14
2016,Danielle,13
2016,Eva,13
2016,Christina,13
2016,Alexis,13
2016,Mackenzie,13
2016,Gianna,13
2016,Joy,13
2016,Addison,13
2016,Cali,12
2016,Eden,12
2016,Jada,12
2016,Harper,12
2016,Amara,12
2016,Oumou,12
2016,Janiyah,12
2016,Ella,12
2016,Milani,12
2016,Bintou,12
2016,Journey,12
2016,Sasha,12
2016,Marley,12
2016,Tianna,12
2016,Malaysia,11
2016,Melanie,11
2016,Nalani,11
2016,Rylee,11
2016,Audrey,11
2016,Aicha,11
2016,Tamia,11
2016,Kaliyah,11
2016,Reign,11
2016,Aissatou,11
2016,Princess,11
2016,Mckenzie,11
2016,Kori,10
2016,Fanta,10
2016,Mila,10
2016,Saniyah,10
2016,Ashley,10
2016,Maimouna,10
2016,Zahra,10
2016,Khadija,10
2016,Hope,10
2016,Skye,10
2016,Annabelle,10
2016,Violet,10
2016,Milan,10
2016,Sanaa,10
2016,Jaliyah,10
2016,Tiana,10
2016,Leila,10
2016,Sanai,10
2016,Blessing,10
2016,Mikayla,10
2016,Isabella,276
2016,Sophia,261
2016,Mia,228
2016,Emma,197
2016,Camila,180
2016,Sofia,179
2016,Emily,124
2016,Valentina,119
2016,Abigail,117
2016,Victoria,116
2016,Leah,116
2016,Madison,115
2016,Ava,110
2016,Olivia,108
2016,Ashley,100
2016,Allison,97
2016,Scarlett,94
2016,Genesis,93
2016,Melanie,87
2016,Brianna,86
2016,Alexa,85
2016,Zoe,83
2016,Kimberly,81
2016,Hailey,81
2016,Samantha,79
2016,Chloe,75
2016,Ariana,73
2016,Arianna,69
2016,Penelope,68
2016,Amelia,66
2016,Alaia,66
2016,Kaylee,64
2016,Valerie,61
2016,Maria,60
2016,Gabriella,58
2016,Luna,57
2016,Elizabeth,57
2016,Layla,57
2016,Aaliyah,56
2016,Gianna,55
2016,Zoey,55
2016,Daniela,52
2016,Amy,52
2016,Nicole,51
2016,Sarah,49
2016,Juliette,49
2016,Jade,48
2016,Mila,48
2016,Charlotte,48
2016,Kylie,46
2016,Katherine,46
2016,Bella,45
2016,Grace,44
2016,Riley,44
2016,Gabriela,43
2016,Kayla,42
2016,Andrea,39
2016,Alyssa,39
2016,Ana,39
2016,Avery,38
2016,Aubrey,38
2016,Maya,37
2016,Adriana,37
2016,Amaya,37
2016,Natalia,36
2016,Kiara,36
2016,Evelyn,36
2016,Savannah,35
2016,Khloe,35
2016,Aria,35
2016,Alice,34
2016,Valeria,34
2016,Serenity,33
2016,Emely,33
2016,Amber,32
2016,Isabel,32
2016,Melissa,32
2016,Natalie,32
2016,Elena,32
2016,Leslie,32
2016,Stephanie,31
2016,Angelina,31
2016,Diana,31
2016,Skylar,30
2016,Ximena,30
2016,Emilia,30
2016,Keyla,29
2016,Michelle,29
2016,Mya,28
2016,Eliana,28
2016,Naomi,28
2016,Kaitlyn,27
2016,Eva,27
2016,Mariana,27
2016,Aylin,27
2016,Ella,27
2016,Chelsea,27
2016,Jazlyn,27
2016,Sarai,26
2016,Delilah,26
2016,Alana,26
2016,Alina,25
2016,Amanda,25
2016,Lia,25
2016,Sara,25
2016,Aliyah,25
2016,Vanessa,24
2016,Jasmine,24
2016,Alison,24
2016,Jayleen,24
2016,Ruby,24
2016,Jocelyn,23
2016,Antonella,23
2016,Amaia,23
2016,Violet,23
2016,Alexandra,23
2016,Liliana,22
2016,Leilani,22
2016,Juliana,22
2016,Sophie,22
2016,Melany,22
2016,Brittany,22
2016,Juliet,22
2016,Angelica,22
2016,Briana,21
2016,Audrey,21
2016,London,21
2016,Danna,21
2016,Jayla,21
2016,Athena,21
2016,Maia,21
2016,Nova,20
2016,Julianna,20
2016,Destiny,20
2016,Lauren,20
2016,Autumn,20
2016,Amalia,20
2016,Jessica,20
2016,Aurora,20
2016,Rose,20
2016,Sherlyn,20
2016,Selena,20
2016,Jazmin,19
2016,Stella,19
2016,Helen,19
2016,Alondra,19
2016,Julia,19
2016,Daniella,19
2016,Jennifer,19
2016,Mariah,18
2016,Miranda,18
2016,Giselle,18
2016,Annabelle,18
2016,Angie,18
2016,Lily,18
2016,Bianca,18
2016,April,18
2016,Arya,18
2016,Keily,17
2016,Laila,17
2016,Alejandra,17
2016,Samara,17
2016,Jaylene,17
2016,Sabrina,17
2016,Madelyn,17
2016,Catalina,17
2016,Lucia,17
2016,Daisy,16
2016,Valery,16
2016,Esther,16
2016,Guadalupe,16
2016,Alessandra,16
2016,Liana,16
2016,Karen,16
2016,Yaretzi,16
2016,Sasha,16
2016,Heaven,16
2016,Isabelle,15
2016,Izabella,15
2016,Leila,15
2016,Alicia,15
2016,Nathalia,15
2016,Brielle,15
2016,Analia,15
2016,Ariella,15
2016,Jacqueline,15
2016,Natasha,15
2016,Kelly,15
2016,Hannah,15
2016,Esmeralda,15
2016,Kamila,15
2016,Itzel,15
2016,Sienna,15
2016,Eileen,15
2016,Nathaly,14
2016,Annalise,14
2016,Bryanna,14
2016,Luciana,14
2016,Angela,14
2016,Jaylah,14
2016,Cataleya,14
2016,Skyla,14
2016,Allyson,14
2016,Aileen,14
2016,Carla,14
2016,Aleah,14
2016,Nashla,14
2016,Leia,14
2016,Mackenzie,14
2016,Elisa,13
2016,Anastasia,13
2016,Erika,13
2016,Nyla,13
2016,Mikaela,13
2016,Amirah,13
2016,Kendra,13
2016,Gia,13
2016,Megan,13
2016,Laura,13
2016,Rachel,13
2016,Sadie,13
2016,Miah,13
2016,Nylah,13
2016,Celine,13
2016,Elianna,13
2016,Camilla,13
2016,Lizbeth,13
2016,Hazel,13
2016,Britney,12
2016,Fatima,12
2016,Josephine,12
2016,Alani,12
2016,Angelique,12
2016,Khaleesi,12
2016,Jaelyn,12
2016,Melody,12
2016,Jamie,12
2016,Roselyn,12
2016,Alia,12
2016,Makayla,12
2016,Aliah,12
2016,Arabella,12
2016,Tiffany,12
2016,Faith,12
2016,Kaylie,12
2016,Ayleen,12
2016,Eliza,12
2016,Lesly,12
2016,Skyler,12
2016,Evangeline,12
2016,Ruth,12
2016,Alanna,11
2016,Scarlet,11
2016,Leilany,11
2016,Alexis,11
2016,Nathalie,11
2016,Montserrat,11
2016,Lillian,11
2016,Paige,11
2016,Nia,11
2016,Kelsey,11
2016,Jaylin,11
2016,Elianny,11
2016,Luz,11
2016,Rosemary,11
2016,Dayana,11
2016,Fernanda,11
2016,Celeste,11
2016,Malia,11
2016,Adelyn,11
2016,Zara,11
2016,Alaina,11
2016,Harley,11
2016,Arielle,11
2016,Anna,11
2016,Madeline,11
2016,Anaya,11
2016,Arianny,11
2016,Yamileth,11
2016,Arlette,11
2016,Amayah,11
2016,Paris,10
2016,Alayna,10
2016,Kate,10
2016,Belen,10
2016,Kaylani,10
2016,Jimena,10
2016,Karla,10
2016,Nayeli,10
2016,Trinity,10
2016,Amina,10
2016,Veronica,10
2016,Caroline,10
2016,Cassandra,10
2016,Adeline,10
2016,Peyton,10
2016,Jolie,10
2016,Ivanna,10
2016,Wendy,10
2016,Janelle,10
2016,Noemi,10
2016,Crystal,10
2016,Jasmin,10
2016,Shirley,10
2016,Isabela,10
2016,Olivia,230
2016,Rachel,221
2016,Esther,209
2016,Sarah,202
2016,Emma,201
2016,Charlotte,190
2016,Chaya,182
2016,Leah,178
2016,Ava,168
2016,Chana,166
2016,Miriam,159
2016,Sara,148
2016,Sophia,144
2016,Maya,137
2016,Emily,136
2016,Rivka,127
2016,Elizabeth,117
2016,Mia,117
2016,Ella,114
2016,Sofia,110
2016,Amelia,99
2016,Alexandra,99
2016,Malka,95
2016,Faigy,91
2016,Malky,87
2016,Gitty,86
2016,Grace,84
2016,Abigail,82
2016,Zoe,81
2016,Isabella,81
2016,Anna,80
2016,Lily,79
2016,Madison,79
2016,Victoria,76
2016,Hannah,76
2016,Gabriella,75
2016,Julia,73
2016,Chloe,72
2016,Alice,71
2016,Eva,68
2016,Harper,67
2016,Stella,67
2016,Mila,66
2016,Emilia,66
2016,Penelope,62
2016,Sophie,62
2016,Sienna,61
2016,Rivky,61
2016,Layla,58
2016,Yitty,58
2016,Violet,57
2016,Evelyn,57
2016,Avery,57
2016,Riley,55
2016,Baila,55
2016,Raizy,55
2016,Valentina,54
2016,Toby,54
2016,Eleanor,53
2016,Naomi,53
2016,Rose,49
2016,Caroline,48
2016,Claire,48
2016,Madeline,48
2016,Maria,47
2016,Talia,47
2016,Shaindy,47
2016,Ruby,46
2016,Nora,46
2016,Devorah,46
2016,Chany,45
2016,Lila,45
2016,Josephine,44
2016,Lucy,44
2016,Fiona,44
2016,Natalie,43
2016,Rebecca,43
2016,Amina,42
2016,Sloane,41
2016,Scarlett,41
2016,Samantha,41
2016,Sadie,41
2016,Gianna,40
2016,Liliana,40
2016,Eliana,40
2016,Clara,40
2016,Dina,39
2016,Isabelle,39
2016,Juliette,39
2016,Pearl,38
2016,Chava,38
2016,Angelina,38
2016,Yocheved,38
2016,Nina,37
2016,Lillian,37
2016,Katherine,37
2016,Ariana,37
2016,Audrey,36
2016,Noa,36
2016,Alexa,36
2016,Aria,35
2016,Hazel,35
2016,Nicole,35
2016,Blima,34
2016,Vivienne,34
2016,Isla,34
2016,Juliet,33
2016,Isabel,33
2016,Adele,32
2016,Esty,32
2016,Libby,32
2016,Lucia,32
2016,Elle,32
2016,Hailey,31
2016,Molly,31
2016,Nechama,31
2016,Adeline,31
2016,Vivian,30
2016,Kayla,30
2016,Michelle,29
2016,Goldy,29
2016,Frances,29
2016,Anastasia,29
2016,Quinn,29
2016,Rochel,29
2016,Maeve,28
2016,Willa,28
2016,Francesca,28
2016,Juliana,28
2016,Shoshana,28
2016,Sury,27
2016,Addison,27
2016,Annabelle,27
2016,Fraidy,27
2016,Gemma,27
2016,Margaret,27
2016,Lyla,26
2016,Madelyn,26
2016,Cora,26
2016,Savannah,25
2016,Sydney,25
2016,June,25
2016,Giuliana,25
2016,Jane,25
2016,Natalia,25
2016,Yides,25
2016,Hindy,25
2016,Diana,24
2016,Bella,24
2016,Mackenzie,24
2016,Eloise,24
2016,Emerson,24
2016,Bracha,24
2016,Ariella,24
2016,Leila,24
2016,Mira,24
2016,Elena,23
2016,Eliza,23
2016,Lara,23
2016,Mary,23
2016,Pessy,22
2016,Alexis,22
2016,Laila,22
2016,Mariam,22
2016,Ahuva,22
2016,Faiga,22
2016,Ellie,22
2016,Daniella,22
2016,Samira,21
2016,Luna,21
2016,Alessia,21
2016,Mindy,21
2016,Blimy,21
2016,Kira,21
2016,Skylar,21
2016,Noor,20
2016,Georgia,20
2016,Ada,20
2016,Margot,20
2016,Phoebe,20
2016,Maryam,20
2016,Sasha,20
2016,Keira,20
2016,Yael,20
2016,Madeleine,19
2016,Lydia,19
2016,Arielle,19
2016,Amalia,19
2016,Ayla,19
2016,Shira,19
2016,Milana,19
2016,Dylan,19
2016,Summer,19
2016,Sabrina,19
2016,Brooke,19
2016,Perl,19
2016,Alessandra,19
2016,Liana,19
2016,Adina,19
2016,Alina,19
2016,Catherine,19
2016,Zoey,18
2016,Gittel,18
2016,Raizel,18
2016,Salma,18
2016,Taylor,18
2016,Avigail,18
2016,Alma,18
2016,Charlie,18
2016,Cecilia,18
2016,Bianca,18
2016,Gabriela,18
2016,Colette,18
2016,Beatrice,18
2016,Julianna,17
2016,Lea,17
2016,Iris,17
2016,Camilla,17
2016,Hana,17
2016,Ruchy,17
2016,Ruth,17
2016,Eve,17
2016,Aurora,17
2016,Helen,17
2016,Adriana,17
2016,Olive,17
2016,Elise,17
2016,Alyssa,17
2016,Ivy,17
2016,Lola,17
2016,Bruchy,16
2016,Hanna,16
2016,Matilda,16
2016,Arianna,16
2016,Lena,16
2016,Celine,16
2016,Chavy,16
2016,Shaina,16
2016,Veronica,16
2016,Hadassah,16
2016,Sylvie,16
2016,Yehudis,16
2016,Idy,16
2016,Genevieve,16
2016,Reese,16
2016,Tzipora,16
2016,Louise,16
2016,Lana,16
2016,Frady,16
2016,Malika,15
2016,Serena,15
2016,Annabel,15
2016,Willow,15
2016,Vera,15
2016,Amelie,15
2016,Devora,15
2016,Elisheva,15
2016,Frimet,15
2016,Kate,15
2016,Raquel,15
2016,Siena,15
2016,Morgan,15
2016,Sabina,15
2016,Layan,15
2016,Zissy,15
2016,Fradel,15
2016,Shifra,15
2016,Henny,15
2016,Aliza,15
2016,Blake,14
2016,Brielle,14
2016,Malak,14
2016,Eden,14
2016,Perel,14
2016,Nadia,14
2016,Golda,14
2016,Esme,14
2016,Brucha,14
2016,Rifka,14
2016,Reagan,14
2016,Tziporah,14
2016,Louisa,14
2016,Judy,14
2016,Adelaide,14
2016,Paige,14
2016,Mirel,14
2016,Rivkah,14
2016,Livia,14
2016,Brianna,14
2016,Liv,14
2016,Vienna,13
2016,Freida,13
2016,Dahlia,13
2016,Rifky,13
2016,Shea,13
2016,Amy,13
2016,Teagan,13
2016,Lia,13
2016,Lauren,13
2016,Tova,13
2016,Ryan,13
2016,Etty,13
2016,Frieda,13
2016,Gabrielle,13
2016,Juniper,13
2016,Gia,13
2016,Simone,13
2016,Trany,12
2016,Batsheva,12
2016,Miri,12
2016,Liora,12
2016,Fatima,12
2016,Jacqueline,12
2016,Tessa,12
2016,Freya,12
2016,Edith,12
2016,Shevy,12
2016,Toba,12
2016,Hadley,12
2016,Laura,12
2016,Aubrey,12
2016,Everly,12
2016,Julie,12
2016,Lilah,12
2016,Hinda,12
2016,Liba,12
2016,Batya,12
2016,Maia,12
2016,Antonia,12
2016,Elisa,12
2016,Basya,12
2016,Breindy,12
2016,Camille,12
2016,Amanda,12
2016,Adrianna,12
2016,Madina,11
2016,Aviva,11
2016,Leyla,11
2016,Dalia,11
